Opentime,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1700337600000,36679.09000000,36707.16000000,36443.10000000,36568.10000000,2408.52693000,1700351999999,88052356.29877200,128972,1022.59327000,37378259.12368640,0
1700352000000,36568.11000000,36573.44000000,36388.27000000,36521.11000000,2116.93728000,1700366399999,77214377.29478200,107540,990.06297000,36106432.91630220,0
1700366400000,36521.11000000,36669.00000000,36489.02000000,36611.50000000,2050.36405000,1700380799999,75001824.60088950,99332,1060.36729000,38787205.29133150,0
1700380800000,36611.49000000,36716.00000000,36384.02000000,36453.62000000,2580.92549000,1700395199999,94304860.53158940,132851,1245.33218000,45505509.90822640,0
1700395200000,36453.63000000,36570.00000000,36385.70000000,36568.27000000,2681.83136000,1700409599999,97816840.41249070,132681,1257.28802000,45856930.45097640,0
1700409600000,36568.27000000,36986.44000000,36511.11000000,36948.97000000,4671.72416000,1700423999999,171724998.96611360,158667,2345.73624000,86226218.10263420,0
1700424000000,36948.97000000,37500.00000000,36800.00000000,37359.86000000,7144.56414000,1700438399999,265468937.63129400,231329,3676.46623000,136607572.13687130,0
1700438400000,37359.85000000,37382.68000000,37038.30000000,37114.34000000,4380.59501000,1700452799999,163115742.76114680,168733,1940.52632000,72256375.06749070,0
1700452800000,37114.34000000,37257.08000000,37040.17000000,37244.47000000,2513.17118000,1700467199999,93359371.54388230,120526,1140.59501000,42372476.14550300,0
1700467200000,37244.47000000,37420.00000000,37061.10000000,37147.50000000,5201.70628000,1700481599999,193530187.59756310,201986,2614.65992000,97281302.98890730,0
1700481600000,37147.51000000,37493.20000000,36677.00000000,37461.61000000,8457.57894000,1700495999999,314534546.57374590,320640,4349.30802000,161798455.40484850,0
1700496000000,37461.62000000,37750.00000000,36812.13000000,37569.23000000,11506.10421000,1700510399999,430697471.72248380,460223,5711.90784000,213821344.40920260,0
1700510400000,37569.23000000,37605.76000000,37271.10000000,37448.78000000,3963.54729000,1700524799999,148485322.18765320,212942,1834.22941000,68716029.72376620,0
1700524800000,37448.79000000,37649.44000000,37304.72000000,37464.86000000,3770.22936000,1700539199999,141324544.26785350,188377,1783.55029000,66860749.66053950,0
1700539200000,37464.86000000,37480.17000000,37241.25000000,37279.91000000,2518.10147000,1700553599999,94059327.59719810,128223,1101.56576000,41149665.91939800,0
1700553600000,37279.91000000,37418.00000000,37150.00000000,37174.97000000,2879.73137000,1700567999999,107444845.27383720,134504,1286.81885000,48012411.53616210,0
1700568000000,37174.97000000,37229.97000000,36250.00000000,36975.04000000,15562.92218000,1700582399999,571976048.27493330,500954,7310.74607000,268606795.91700340,0
